"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX"
"20161","03144674",77,0,"1",.,"A"
"20161","03144684",11,0,"1",.,"A"
"20161","03144724",25,0,"1",.,"A"
"20161","03144744",30,0,"1",.,"A"
"20161","03144754",18,0,"1",.,"A"
"20161","03144764",42,0,"1",.,"A"
"20161","03144774",9,0,"1",.,"A"
"20161","03144784",25,0,"1",.,"A"
"20161","03144794",67,0,"1",.,"A"
"20161","03144804",29,0,"1",.,"A"
"20161","03144814",7,0,"1",.,"A"
"20161","03144904",43,0,"1",.,"A"
"20161","03144914",41,0,"1",.,"A"
"20161","03144954",11,0,"1",.,"A"
"20161","03144964",26,0,"1",.,"A"
"20161","03144974",39,0,"1",.,"A"
"20161","03144984",35,0,"1",.,"A"
"20161","03145044",62,0,"1",.,"A"
"20161","03145064",54,0,"1",.,"A"
"20161","03145074",20,0,"1",.,"A"
"20161","03145104",21,0,"1",.,"A"
"20161","03145124",31,0,"1",.,"A"
"20161","03145164",11,0,"1",.,"A"
"20161","03145174",21,0,"1",.,"A"
"20161","03145214",19,0,"1",.,"A"
"20161","03145234",110,0,"1",.,"A"
"20161","03145244",27,0,"1",.,"A"
"20161","03145254",29,0,"1",.,"A"
"20161","03145264",69,0,"1",.,"A"
"20161","03145304",24,0,"1",.,"A"
"20161","03145314",39,0,"1",.,"A"
"20161","03145384",26,0,"1",.,"A"
"20161","03145414",44,0,"1",.,"A"
"20161","03145424",37,0,"1",.,"A"
"20161","03145434",37,0,"1",.,"A"
"20161","03145474",50,0,"1",.,"A"
"20161","03145484",21,0,"1",.,"A"
"20161","03145494",33,0,"1",.,"A"
"20161","03145504",17,0,"1",.,"A"
"20161","03145544",34,0,"1",.,"A"
"20161","03145564",21,0,"1",.,"A"
"20161","03145604",32,0,"1",.,"A"
"20161","03145614",18,0,"1",.,"A"
"20161","03145644",28,0,"1",.,"A"
"20161","03145654",47,0,"1",.,"A"
"20161","03145684",52,0,"1",.,"A"
"20161","03145734",32,0,"1",.,"A"
"20161","03145754",55,0,"1",.,"A"
"20161","03145774",19,0,"1",.,"A"
"20161","03145784",20,0,"1",.,"A"
