"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","JALHOMQV","JALH_MQV","CIGARETX","CIGA_ETX","JCIGARQV","JCIG_RQV","JOTBACQV","JOTB_CQV","OTHTBACX","OTHT_ACX"
"20161","03091534",26,0,"1",1300,"D",390,"D",.,"A",650,"D",0,"D",.,"A",.,"A",910,"D",0,"D",.,"C",532,"F",.,"A",.,"A"
"20161","03091544",49,0,"1",1950,"D",130,"D",.,"A",520,"D",30,"D",.,"A",.,"A",1820,"D",210,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03091594",63,0,"1",1300,"D",39,"D",.,"A",130,"D",0,"D",.,"A",.,"A",1261,"D",30,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03091654",24,0,"1",1040,"D",0,"D",.,"A",520,"D",0,"D",.,"A",.,"A",1040,"D",75,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03091824",48,0,"1",1560,"D",130,"D",.,"A",1300,"D",0,"D",.,"A",.,"A",1430,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03091834",21,0,"1",325,"D",65,"D",.,"A",260,"D",0,"D",.,"A",.,"A",260,"D",60,"D",35,"D",455,"D",.,"A",.,"A"
"20161","03091864",51,0,"1",1300,"D",390,"D",.,"A",975,"D",0,"D",.,"A",.,"A",910,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03091874",18,0,"1",975,"D",0,"D",.,"A",195,"D",30,"D",.,"A",.,"A",975,"D",60,"D",50,"D",650,"D",.,"A",.,"A"
"20161","03092044",15,0,"1",1300,"D",130,"D",.,"A",0,"D",0,"D",.,"A",.,"A",1170,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03092064",16,0,"1",390,"D",91,"D",.,"A",130,"D",0,"D",.,"A",.,"A",299,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03092094",33,0,"1",1300,"D",0,"D",.,"A",260,"D",6,"D",.,"A",.,"A",1300,"D",6,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03092144",40,0,"1",3250,"D",650,"D",.,"A",0,"D",0,"D",.,"A",.,"A",2600,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
