"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VEHICYC","VEHICYC_","VEHDISP","VEHDISP_","VDISPMO","VDISPMO_","SALEX","SALEX_","REIMBURX","REIM_URX","EXREIMBX","EXRE_MBX","LOANSTAT","LOAN_TAT","FINPAYMX","FINP_YMX","VEHICIC","VEHICIC_"
"20161","03252542",46,0,"1","100","D","1","D","11","D",9500,"D",.,"A",.,"A","1","D",6000,"D","03","D"
"20161","03252882",41,0,"1","110","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03254142",38,0,"1","100","D","2","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03254472",29,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03255482",37,0,"1","110","D","3","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20161","03255512",18,0,"1","100","D","2","D","10","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20161","03255542",22,0,"1","110","D","3","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20161","03255792",35,0,"1","100","D","4","D","11","D",.,"A",.,"A",1400,"D","2","D",.,"A","01","D"
"20161","03255872",31,0,"1","140","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03256102",20,0,"1","110","D","1","D","11","D",5000,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03256162",23,0,"1","110","D","4","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03256242",38,0,"1","110","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20161","03256282",13,0,"1","100","D","4","D","10","D",.,"A",500,"D",.,"A","2","D",.,"A","01","D"
"20161","03256422",49,0,"1","100","D","1","D","11","D",1000,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03256502",52,0,"1","100","D","1","D","12","D",1000,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03257572",20,0,"1","110","D","4","D","11","D",.,"A",1060,"D",.,"A","1","D",15000,"D","01","D"
"20161","03257612",31,0,"1","110","D","2","D","11","D",.,"A",.,"A",.,"A","1","D",800,"F","01","D"
"20161","03257872",37,0,"1","100","D","2","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03258252",15,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03258402",19,0,"1","100","D","4","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03258502",47,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03258572",31,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03258652",34,0,"1","100","D","6","D","11","D",.,"A",.,"A",.,"A","1","D",.,"A","04","D"
"20161","03259462",23,0,"1","100","D","4","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
