"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","LSD__AKE","LSDENDYR","LSDE_DYR","PMTYEAR","PMTYEAR_","LSD_MAKE"
"20163","03449041",18,0,"1","01","D","105","D","2014","D",.,"A",39,"D","02","D",291,"D","3","D",.,"A",.,"A",1000,"D",.,"A",,"A",291,"D",291,"D",291,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","D",,"A","2014","D","GMC"
"20163","03449231",10,0,"1","01","D","105","D","2015","D",.,"A",36,"D","05","D",389,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",389,"D",389,"D",389,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2014","D","CHE"
"20163","03449331",41,0,"1","01","D","105","D","2013","D",.,"A",36,"D","01","D",760,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",760,"D",760,"D",760,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2014","D","LIN"
"20163","03449331",42,0,"1","02","D","105","D","2015","D",.,"A",24,"D","07","D",555,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",555,"D",555,"D",555,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2015","D","LIN"
"20163","03449331",43,0,"1","03","D","105","D","2016","D",.,"A",36,"D","06","D",393,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",.,"A",393,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2016","D","JEE"
"20163","03450231",27,0,"1","01","D","105","D","2015","D",.,"A",36,"D","08","D",435,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",435,"D",435,"D",435,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2015","D","GMC"
"20163","03450251",11,0,"1","01","D","105","D","2016","D",.,"A",36,"D","04","D",324,"D","3","D",.,"A",.,"A",1000,"D",.,"A",,"A",324,"D",324,"D",324,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","D",,"A","2016","D","CHE"
"20163","03450311",8,0,"1","01","D","105","D",,"C",.,"A",24,"D","01","D",.,"C","3","D",.,"A",.,"C",.,"A",.,"A",,"A",200,"F",200,"F",200,"F",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2014","D","VOK"
"20163","03461071",20,0,"1","01","D","105","D","2015","D",.,"A",36,"D","01","D",350,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",350,"D",350,"D",350,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2015","D","FOR"
"20163","03461291",12,0,"1","01","D","105","D","2016","D",.,"A",36,"D","05","D",350,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",350,"D",350,"D",350,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2016","D","LIN"
"20163","03461431",11,0,"1","01","D","105","D","2014","D",.,"A",36,"D","09","F",300,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",300,"D",300,"D",300,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2014","D","GEO"
"20163","03461431",12,0,"1","02","D","105","D","2014","D",.,"A",36,"D","05","F",260,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",260,"D",260,"D",260,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2014","D","HYU"
"20163","03461471",18,0,"1","01","D","105","D","2013","D",.,"A",36,"D","08","F",300,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",300,"D",300,"D",300,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2013","D","KIA"
"20163","03461721",7,0,"1","01","D","105","D","2015","D",.,"A",36,"D","06","D",335,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",335,"D",335,"D",335,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2015","D","HON"
"20163","03461721",8,0,"1","02","D","105","D","2014","D",.,"A",36,"D","08","D",235,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",235,"D",235,"D",235,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2015","D","HON"
"20163","03461851",14,0,"1","01","D","105","D","2016","D",.,"A",36,"D","03","D",307,"D","3","D",.,"A",2500,"D",2500,"D",.,"A",,"A",307,"D",307,"D",307,"D",16,"D",16,"D",16,"D",2500,"D",.,"A","D",,"A","2016","D","AUD"
"20163","03462301",5,0,"1","01","D","105","D","2005","D",.,"A",1,"D","03","D",5300,"D","7","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2015","D","DOD"
"20163","03462321",6,0,"1","01","D","105","D","2015","D",.,"A",24,"D","05","D",636,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",636,"D",636,"D",636,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2016","D","FOR"
"20163","03464031",13,0,"1","01","D","105","D","2016","D",.,"A",36,"D","02","D",400,"D","3","D",.,"A",.,"A",2000,"D",.,"A",,"A",400,"D",400,"D",400,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","D",,"A","2016","D","FOR"
"20163","03464601",12,0,"1","01","D","105","D","2014","D",.,"A",36,"D","01","D",500,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",500,"D",500,"D",500,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2014","D","LEX"
"20163","03464941",16,0,"1","01","D","105","D","2016","D",.,"A",39,"D","03","D",215,"D","3","D",.,"A",.,"A",2500,"D",.,"A",,"A",215,"D",215,"D",215,"D",.,"A",.,"A",.,"A",2500,"D",.,"A","D",,"A","2016","D","HON"
