"NEWID","REFMO","REFYR","UCC","PUBFLAG","VALUE","VALUE_","IMPNUM"
"02792115","01","2015","980000","2",3804.8333,,"1"
"02792115","01","2015","980000","2",7464.9167,,"2"
"02792115","01","2015","980000","2",2257.25,,"3"
"02792115","01","2015","980000","2",3292.6667,,"4"
"02792115","01","2015","980000","2",5453.4167,,"5"
"02792115","11","2014","980071","2",3393.0833,,"1"
"02792115","11","2014","980071","2",7053.1667,,"2"
"02792115","11","2014","980071","2",1845.5,,"3"
"02792115","11","2014","980071","2",2880.9167,,"4"
"02792115","11","2014","980071","2",5041.6667,,"5"
"02792115","12","2014","980071","2",3393.0833,,"1"
"02792115","12","2014","980071","2",7053.1667,,"2"
"02792115","12","2014","980071","2",1845.5,,"3"
"02792115","12","2014","980071","2",2880.9167,,"4"
"02792115","12","2014","980071","2",5041.6667,,"5"
"02792115","01","2015","980071","2",3393.0833,,"1"
"02792115","01","2015","980071","2",7053.1667,,"2"
"02792115","01","2015","980071","2",1845.5,,"3"
"02792115","01","2015","980071","2",2880.9167,,"4"
"02792115","01","2015","980071","2",5041.6667,,"5"
"02792125","11","2014","900030","2",1288.9167,,"1"
"02792125","11","2014","900030","2",1288.9167,,"2"
"02792125","11","2014","900030","2",1288.9167,,"3"
"02792125","11","2014","900030","2",1288.9167,,"4"
"02792125","11","2014","900030","2",1288.9167,,"5"
"02792125","12","2014","900030","2",1288.9167,,"1"
"02792125","12","2014","900030","2",1288.9167,,"2"
"02792125","12","2014","900030","2",1288.9167,,"3"
"02792125","12","2014","900030","2",1288.9167,,"4"
"02792125","12","2014","900030","2",1288.9167,,"5"
"02792125","01","2015","900030","2",1288.9167,,"1"
"02792125","01","2015","900030","2",1288.9167,,"2"
"02792125","01","2015","900030","2",1288.9167,,"3"
"02792125","01","2015","900030","2",1288.9167,,"4"
"02792125","01","2015","900030","2",1288.9167,,"5"
"02792125","11","2014","900150","2",246,,"1"
"02792125","11","2014","900150","2",246,,"2"
"02792125","11","2014","900150","2",246,,"3"
"02792125","11","2014","900150","2",246,,"4"
"02792125","11","2014","900150","2",246,,"5"
"02792125","12","2014","900150","2",246,,"1"
"02792125","12","2014","900150","2",246,,"2"
"02792125","12","2014","900150","2",246,,"3"
"02792125","12","2014","900150","2",246,,"4"
"02792125","12","2014","900150","2",246,,"5"
"02792125","01","2015","900150","2",246,,"1"
"02792125","01","2015","900150","2",246,,"2"
"02792125","01","2015","900150","2",246,,"3"
"02792125","01","2015","900150","2",246,,"4"
"02792125","01","2015","900150","2",246,,"5"
"02792125","11","2014","980000","2",1534.9167,,"1"
"02792125","11","2014","980000","2",1534.9167,,"2"
"02792125","11","2014","980000","2",1534.9167,,"3"
"02792125","11","2014","980000","2",1534.9167,,"4"
"02792125","11","2014","980000","2",1534.9167,,"5"
"02792125","12","2014","980000","2",1534.9167,,"1"
"02792125","12","2014","980000","2",1534.9167,,"2"
"02792125","12","2014","980000","2",1534.9167,,"3"
"02792125","12","2014","980000","2",1534.9167,,"4"
"02792125","12","2014","980000","2",1534.9167,,"5"
"02792125","01","2015","980000","2",1534.9167,,"1"
"02792125","01","2015","980000","2",1534.9167,,"2"
"02792125","01","2015","980000","2",1534.9167,,"3"
"02792125","01","2015","980000","2",1534.9167,,"4"
"02792125","01","2015","980000","2",1534.9167,,"5"
"02792125","11","2014","980071","2",1551.5833,,"1"
"02792125","11","2014","980071","2",1551.5833,,"2"
"02792125","11","2014","980071","2",1551.5833,,"3"
"02792125","11","2014","980071","2",1551.5833,,"4"
"02792125","11","2014","980071","2",1551.5833,,"5"
"02792125","12","2014","980071","2",1551.5833,,"1"
"02792125","12","2014","980071","2",1551.5833,,"2"
"02792125","12","2014","980071","2",1551.5833,,"3"
"02792125","12","2014","980071","2",1551.5833,,"4"
"02792125","12","2014","980071","2",1551.5833,,"5"
"02792125","01","2015","980071","2",1551.5833,,"1"
"02792125","01","2015","980071","2",1551.5833,,"2"
"02792125","01","2015","980071","2",1551.5833,,"3"
"02792125","01","2015","980071","2",1551.5833,,"4"
"02792125","01","2015","980071","2",1551.5833,,"5"
"02792155","11","2014","900030","2",1679.9167,,"1"
"02792155","11","2014","900030","2",1679.9167,,"2"
"02792155","11","2014","900030","2",1679.9167,,"3"
"02792155","11","2014","900030","2",1679.9167,,"4"
"02792155","11","2014","900030","2",1679.9167,,"5"
"02792155","12","2014","900030","2",1679.9167,,"1"
"02792155","12","2014","900030","2",1679.9167,,"2"
"02792155","12","2014","900030","2",1679.9167,,"3"
"02792155","12","2014","900030","2",1679.9167,,"4"
"02792155","12","2014","900030","2",1679.9167,,"5"
"02792155","01","2015","900030","2",1679.9167,,"1"
"02792155","01","2015","900030","2",1679.9167,,"2"
"02792155","01","2015","900030","2",1679.9167,,"3"
"02792155","01","2015","900030","2",1679.9167,,"4"
"02792155","01","2015","900030","2",1679.9167,,"5"
"02792155","11","2014","900170","2",5666.6667,,"1"
"02792155","11","2014","900170","2",5666.6667,,"2"
"02792155","11","2014","900170","2",5666.6667,,"3"
"02792155","11","2014","900170","2",5666.6667,,"4"
"02792155","11","2014","900170","2",5666.6667,,"5"
"02792155","12","2014","900170","2",5666.6667,,"1"
"02792155","12","2014","900170","2",5666.6667,,"2"
"02792155","12","2014","900170","2",5666.6667,,"3"
"02792155","12","2014","900170","2",5666.6667,,"4"
"02792155","12","2014","900170","2",5666.6667,,"5"
"02792155","01","2015","900170","2",5666.6667,,"1"
"02792155","01","2015","900170","2",5666.6667,,"2"
"02792155","01","2015","900170","2",5666.6667,,"3"
"02792155","01","2015","900170","2",5666.6667,,"4"
"02792155","01","2015","900170","2",5666.6667,,"5"
"02792155","11","2014","900180","2",10.5,,"1"
"02792155","11","2014","900180","2",58.9167,,"2"
"02792155","11","2014","900180","2",57.75,,"3"
"02792155","11","2014","900180","2",11,,"4"
"02792155","11","2014","900180","2",2.25,,"5"
"02792155","12","2014","900180","2",10.5,,"1"
"02792155","12","2014","900180","2",58.9167,,"2"
"02792155","12","2014","900180","2",57.75,,"3"
"02792155","12","2014","900180","2",11,,"4"
"02792155","12","2014","900180","2",2.25,,"5"
"02792155","01","2015","900180","2",10.5,,"1"
"02792155","01","2015","900180","2",58.9167,,"2"
"02792155","01","2015","900180","2",57.75,,"3"
"02792155","01","2015","900180","2",11,,"4"
"02792155","01","2015","900180","2",2.25,,"5"
"02792155","11","2014","980000","2",7357.0833,,"1"
"02792155","11","2014","980000","2",7405.5,,"2"
"02792155","11","2014","980000","2",7404.3333,,"3"
