"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","RENTCODE","RENT_ODE","BSNSPCTZ","BSNS_CTZ","QADRENTX","QADR_NTX","ANYVACAT","ANYV_CAT"
"20132",2657072,34,0,"1","105","D",.,"A",320,"D","1","D"
"20132",2657282,24,0,"1","105","D",.,"A",600,"D","2","D"
"20132",2657312,11,0,"1","105","D",.,"A",80,"D","1","D"
"20132",2657542,44,0,"1","105","D",.,"A",150,"D","1","D"
"20132",2658392,15,0,"1","105","D",.,"A",200,"D","1","D"
"20132",2660282,22,0,"1","105","D",.,"A",1,"D","2","D"
"20132",2660602,44,0,"1","105","D",.,"A",75,"D","2","D"
"20132",2661592,50,0,"1","105","D",.,"A",700,"D","1","D"
"20132",2661952,49,0,"1","105","D",.,"A",550,"D","1","D"
"20132",2661952,50,0,"1","105","D",1,"D",0,"D","1","D"
"20132",2663222,45,0,"1","105","D",.,"A",248,"D","1","D"
"20132",2663732,33,0,"1","105","D",.,"A",170,"D","1","D"
"20132",2664552,25,0,"1","105","D",1,"D",0,"D","1","D"
"20132",2664992,31,0,"1","105","D",.,"A",280,"D","1","D"
"20132",2665342,27,0,"1","105","D",.,"A",500,"D","2","D"
"20132",2666522,49,0,"1","105","D",.,"A",95,"D","1","D"
"20132",2667002,14,0,"1","105","D",.,"A",1500,"D","1","D"
"20132",2669522,11,0,"1","105","D",.,"A",150,"D","2","D"
"20132",2670812,30,0,"1","105","D",.,"A",100,"D","2","D"
"20132",2670912,36,0,"1","105","D",0.4,"D",246,"D","2","D"
"20132",2672072,40,0,"1","105","D",.,"A",376,"D","1","D"
"20132",2672732,60,0,"1","105","D",.,"A",124,"D","1","D"
"20132",2674582,37,0,"1","105","D",.,"A",225,"D","1","D"
"20132",2675122,31,0,"1","105","D",.,"A",150,"D","2","D"
"20132",2676662,20,0,"1","105","D",1,"D",0,"D","1","D"
"20132",2676912,39,0,"1","105","D",.,"A",199,"D","1","D"
"20132",2677222,28,0,"1","105","D",.,"A",300,"D","2","D"
"20132",2677232,17,0,"1","105","D",.,"A",178,"D","1","D"
"20132",2677932,22,0,"1","105","D",.,"A",187,"D","1","D"
"20132",2678662,17,0,"1","105","D",.,"A",128,"D","1","D"
"20132",2678742,20,0,"1","105","D",1,"D",0,"D","1","D"
"20132",2678872,32,0,"1","105","D",.,"A",125,"D","2","D"
"20132",2679442,49,0,"1","105","D",0.8,"D",40,"D","2","D"
"20132",2680032,32,0,"1","105","D",.,"A",89,"D","1","D"
"20132",2683944,10,0,"1","105","D",.,"A",80,"D","1","D"
"20132",2686104,11,0,"1","105","D",0.5,"D",1000,"D","1","D"
