"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JMEALPYA","JMEA_PYA","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","FREEFOOD","FREE_OOD","JALHOMQV","JALH_MQV","CIGARETX","CIGA_ETX","JCIGARQV","JCIG_RQV","JOTBACQV","JOTB_CQV","OTHTBACX","OTHT_ACX"
"20132",2551755,27,0,"1",1300,"D",260,"D",463,"F",156,"D",.,"A",.,"A",.,"A",.,"A",1040,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551775,44,0,"1",650,"D",0,"D",.,"A",1300,"D",130,"F",.,"A",.,"A",.,"A",650,"D",,"A",300,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2551815,34,0,"1",2275,"D",975,"D",.,"A",585,"D",.,"A",.,"A",.,"A",.,"A",1300,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551845,59,0,"1",2925,"D",650,"D",.,"A",195,"D",0,"D",.,"A",.,"A",.,"A",2275,"D",,"A",75,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2551855,14,0,"1",1950,"D",130,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1820,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551875,71,0,"1",3250,"D",650,"D",.,"A",1300,"D",.,"A",.,"A",.,"A",360,"D",2600,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551885,32,0,"1",2106,"D",1911,"D",.,"A",0,"D",0,"D",.,"A",.,"A",.,"A",195,"D",,"A",210,"D",90,"D",1170,"D",.,"A",.,"A"
"20132",2551895,38,0,"1",1560,"D",260,"D",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",1300,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551905,26,0,"1",650,"D",65,"D",.,"A",195,"D",.,"A",.,"A",.,"A",.,"A",585,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551925,19,0,"1",390,"D",0,"D",.,"A",0,"D",0,"D",.,"A",.,"A",.,"A",390,"D",,"A",45,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2551935,39,0,"1",1300,"D",130,"D",.,"A",1560,"D",0,"D",.,"A",.,"A",.,"A",1170,"D",,"A",90,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2551965,56,0,"1",1300,"D",0,"D",.,"A",1300,"D",.,"A",.,"A",.,"A",.,"A",1300,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551975,37,0,"1",780,"D",78,"D",.,"A",0,"D",0,"D",.,"A",.,"A",.,"A",702,"D",,"A",90,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2552055,44,0,"1",2600,"D",520,"D",.,"A",1300,"D",.,"A",.,"A",.,"A",.,"A",2080,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2552065,46,0,"1",1950,"D",0,"D",.,"A",0,"D",0,"D",.,"A",.,"A",.,"A",1950,"D",,"A",300,"D",40,"D",520,"D",.,"A",.,"A"
