"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VEHICYC","VEHICYC_","VEHDISP","VEHDISP_","VDISPMO","VDISPMO_","SALEX","SALEX_","REIMBURX","REIM_URX","EXREIMBX","EXRE_MBX","LOANSTAT","LOAN_TAT","FINPAYMX","FINP_YMX","VEHICIC","VEHICIC_"
"20131",2558254,51,0,"2","100","D","2","D","11","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20131",2558744,36,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2559074,41,0,"1","110","D","1","D","01","D",850,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2559624,43,0,"1","150","D","1","D","12","D",2000,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20131",2559734,26,0,"1","110","D","4","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2560414,48,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2560614,24,0,"1","100","D","4","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2560654,33,0,"2","110","D","1","D","11","D",8500,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2560734,54,0,"1","110","D","4","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2560924,58,0,"1","100","D","1","D","11","D",1000,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2561024,31,0,"1","100","D","6","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2561854,39,0,"1","100","D","1","D","11","D",2100,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20131",2561884,52,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2561884,53,0,"1","110","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2561884,54,0,"1","110","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","05","D"
"20131",2561884,55,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","06","D"
"20131",2562284,45,0,"1","110","D","6","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2562464,73,0,"1","110","D","4","D","11","D",.,"A",22000,"D",.,"A","1","D",10000,"D","01","D"
"20131",2564464,30,0,"1","110","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2564474,52,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2565224,58,0,"1","100","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","06","D"
