"QYEAR","NEWID","SEQNO","ALCNO","INTSERV","INTSERV_","INTMO","INTMO_","INTCHGX","INTCHGX_","INTSRV1","INTSRV1_","INTSRV2","INTSRV2_","INTSRV3","INTSRV3_","INTSRV4","INTSRV4_","INTSRV5","INTSRV5_","INTSRV6","INTSRV6_","INTSRV7","INTSRV7_","INTSRV8","INTSRV8_","INTSRV9","INTSRV9_"
"20132",2606624,6,0,"100","D","13","D",52,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2606634,12,0,"100","D","13","D",93,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2606674,20,0,"100","D","13","D",71,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2606695,12,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2606695,12,1,"200","D","13","D",39,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2606695,12,2,"100","D","13","D",71,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2606804,29,0,"200","D","13","D",38,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2606824,30,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2606824,30,1,"200","D","13","D",27,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2606824,30,2,"100","D","13","D",48,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2606914,30,0,"100","D","13","D",140,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2606924,13,0,"100","D","13","D",45,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2606924,14,0,"200","D","13","D",25,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2606944,40,0,"100","D","13","D",90,"D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2607044,28,0,"200","D","13","D",40,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2607074,42,0,"100","D","13","D",80,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2607074,43,0,"200","D","13","D",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2607094,74,0,"100","D","13","D",26,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2607104,33,0,"100","D","13","D",121,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2607154,56,0,"100","D","13","D",68,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2607254,29,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2607254,29,1,"200","D","13","D",25,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2607254,29,2,"100","D","13","D",44,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2607264,37,0,"100","D","13","D",66,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2607304,39,0,"100","D","13","D",90,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20132",2607304,40,0,"200","D","13","D",40,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
