"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX","QPYP3MCX","QPYP_MCX","QPRP3MCX","QPRP_MCX"
"20131",2619342,26,0,"1",.,"A",.,"A",90,"D"
"20131",2619372,49,0,"1",.,"A",.,"A",90,"D"
"20131",2619522,36,0,"1",.,"A",.,"A",20,"D"
"20131",2619662,54,0,"1",.,"A",.,"A",180,"D"
"20131",2619812,62,0,"1",.,"A",.,"A",100,"D"
"20131",2620002,67,0,"1",.,"A",.,"A",14,"D"
"20131",2620142,30,0,"1",.,"A",.,"A",30,"D"
"20131",2620322,61,0,"1",40,"D",.,"A",.,"A"
"20131",2620562,48,0,"1",.,"A",.,"A",30,"D"
"20131",2620682,47,0,"1",.,"A",30,"D",.,"A"
"20131",2621422,28,0,"1",.,"A",.,"A",150,"D"
"20131",2621622,44,0,"1",.,"A",.,"A",405,"D"
"20131",2621682,52,0,"1",.,"A",.,"A",30,"D"
"20131",2621932,42,0,"1",.,"A",.,"A",20,"D"
"20131",2621964,84,0,"1",75,"D",.,"A",.,"A"
"20131",2621992,45,0,"1",.,"A",1,"D",150,"D"
"20131",2622172,82,0,"1",15,"D",.,"A",30,"D"
"20131",2622212,50,0,"1",30,"D",.,"A",.,"A"
"20131",2622492,42,0,"1",25,"D",.,"A",.,"A"
"20131",2622922,54,0,"1",15,"D",.,"A",.,"A"
"20131",2622952,39,0,"1",0,"D",.,"A",.,"A"
"20131",2623772,43,0,"1",.,"A",.,"A",160,"D"
"20131",2624512,42,0,"1",50,"D",.,"A",.,"A"
"20131",2624592,44,0,"1",200,"D",.,"A",100,"D"
"20131",2624982,63,0,"1",20,"D",.,"A",.,"A"
"20131",2625002,21,0,"1",.,"A",.,"A",90,"D"
"20131",2625112,20,0,"1",0,"D",.,"A",.,"A"
"20131",2625262,27,0,"1",30,"D",.,"A",.,"A"
"20131",2625602,62,0,"1",.,"A",.,"A",20,"D"
"20131",2626262,103,0,"1",50,"D",.,"A",.,"A"
"20131",2626312,70,0,"1",10,"D",.,"A",.,"A"
"20131",2626332,35,0,"1",20,"D",.,"A",.,"A"
"20131",2626382,51,0,"1",.,"A",.,"A",199,"D"
"20131",2626402,36,0,"1",.,"A",.,"A",0,"D"
"20131",2626532,64,0,"1",.,"A",.,"A",60,"D"
"20131",2626792,33,0,"1",180,"D",.,"A",.,"A"
"20131",2626892,57,0,"1",200,"D",.,"A",.,"A"
"20131",2626952,76,0,"1",.,"A",.,"A",40,"D"
"20131",2627152,47,0,"1",.,"A",.,"A",20,"D"
"20131",2627163,20,0,"1",.,"A",.,"A",0,"D"
"20131",2627352,29,0,"1",.,"A",.,"A",100,"D"
"20131",2627782,47,0,"1",.,"A",20,"D",.,"A"
"20131",2627982,30,0,"1",0,"D",.,"A",.,"A"
"20131",2628462,57,0,"1",.,"A",.,"A",50,"D"
"20131",2628542,50,0,"1",.,"A",.,"A",32,"D"
"20131",2628582,78,0,"1",.,"A",.,"A",230,"D"
"20131",2628782,23,0,"1",55,"D",.,"A",.,"A"
"20131",2629174,33,0,"1",55,"D",.,"A",.,"A"
"20131",2629282,25,0,"1",.,"A",.,"A",105,"D"
"20131",2629662,66,0,"1",40,"D",.,"A",.,"A"
"20131",2629912,58,0,"1",.,"A",.,"A",60,"D"
"20131",2629992,28,0,"1",.,"A",.,"A",30,"D"
"20131",2630032,76,0,"1",50,"D",.,"A",.,"A"
"20131",2630052,63,0,"1",.,"A",.,"A",0,"D"
"20131",2630282,44,0,"1",.,"A",.,"A",90,"D"
"20131",2630602,98,0,"1",.,"A",.,"A",89,"D"
"20131",2630822,43,0,"1",.,"A",.,"A",20,"D"
"20131",2630932,39,0,"1",0,"D",.,"A",.,"A"
"20131",2631222,31,0,"1",60,"D",.,"A",.,"A"
"20131",2631402,42,0,"1",.,"A",.,"A",90,"D"
"20131",2631412,41,0,"1",20,"D",.,"A",.,"A"
"20131",2631622,53,0,"1",.,"A",.,"A",16,"D"
"20131",2632082,106,0,"1",20,"D",.,"A",.,"A"
"20131",2632122,63,0,"1",.,"A",.,"A",2,"D"
"20131",2632612,44,0,"1",50,"D",.,"A",.,"A"
"20131",2632932,55,0,"1",20,"D",.,"A",.,"A"
"20131",2633022,31,0,"1",.,"A",.,"A",135,"D"
"20131",2633192,60,0,"1",.,"A",.,"A",120,"D"
"20131",2633332,40,0,"1",12,"D",.,"A",.,"A"
"20131",2634072,63,0,"1",90,"D",.,"A",.,"A"
"20131",2635142,28,0,"1",.,"A",.,"A",0,"D"
"20131",2635302,57,0,"1",.,"A",.,"A",101,"F"
"20131",2635812,25,0,"1",0,"D",.,"A",0,"D"
"20131",2636432,40,0,"1",100,"D",.,"A",.,"A"
