"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","S17CODEA","S17C_DEA","S17GFTCA","S17G_TCA","QSUB3MCX","QSUB_MCX","SUBEXPX","SUBEXPX_","SUBMO","SUBMO_"
"20131",2520165,42,0,"1","830","D","1","D",105,"D",.,"A",,"A"
"20131",2520175,20,0,"1","830","D","1","D",30,"D",.,"A",,"A"
"20131",2520195,48,0,"1","150","D","1","D",40,"D",.,"A",,"A"
"20131",2520275,68,0,"1","150","D","1","D",32,"D",.,"A",,"A"
"20131",2520345,60,0,"1","150","D","1","D",64,"D",.,"A",,"A"
"20131",2520345,61,0,"1","800","D","1","D",2766,"D",.,"A",,"A"
"20131",2520345,62,0,"1","840","D","1","D",110,"D",.,"A",,"A"
"20131",2520345,63,0,"1","820","D","1","D",75,"D",.,"A",,"A"
"20131",2520375,49,0,"1","150","D","1","D",65,"D",.,"A",,"A"
"20131",2520375,50,0,"1","840","D","1","D",0,"D",.,"A",,"A"
"20131",2520415,99,0,"1","150","D","1","D",48,"D",.,"A",,"A"
"20131",2520415,100,0,"1","830","D","1","D",150,"D",.,"A",,"A"
"20131",2520415,101,0,"1","830","D","1","D",50,"D",.,"A",,"A"
"20131",2520425,132,0,"1","830","D","1","D",57,"D",.,"A",,"A"
"20131",2520425,133,0,"1","830","D","1","D",90,"D",.,"A",,"A"
"20131",2520425,134,0,"1","840","D","1","D",55,"D",.,"A",,"A"
"20131",2520425,135,0,"1","840","D","1","D",100,"D",.,"A",,"A"
"20131",2520425,136,0,"1","840","D","1","D",79,"D",.,"A",,"A"
"20131",2520465,86,0,"1","150","D","1","D",59,"D",.,"A",,"A"
"20131",2520465,87,0,"1","830","D","1","D",100,"D",.,"A",,"A"
"20131",2520655,60,0,"1","150","D","1","D",49,"D",.,"A",,"A"
"20131",2520655,61,0,"1","830","D","1","D",48,"D",.,"A",,"A"
"20131",2520745,43,0,"1","150","D","1","D",35,"D",.,"A",,"A"
"20131",2520745,44,0,"1","830","D","1","D",240,"D",.,"A",,"A"
