"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPFLUDX","VOPF_UDX","VOPPARKX","VOPP_RKX","VOPTOWX","VOPTOWX_","VOPDOCKX","VOPD_CKX","VOPPLCYX","VOPP_CYX","TANKGASX","TANK_ASX","JGASOXQV","JGAS_XQV","JDIESXQV","JDIE_XQV","VOPCLUBX","VOPC_UBX","VOPTOLLX","VOPT_LLX","VOPOILX","VOPOILX_"
"20163","03410142",28,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",150,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03410162",20,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",135,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03410182",22,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",150,"D",.,"A",.,"A",13,"D",.,"A"
"20163","03410212",24,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",180,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03410252",21,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",240,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03410302",57,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",2100,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03410332",11,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20163","03410362",47,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",102,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03410392",38,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",210,"D",240,"D",.,"A",.,"A",.,"A"
"20163","03410412",35,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",720,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03410422",48,0,"1",.,"A",3,"D",.,"A",.,"A",.,"A",.,"A",759,"D",.,"A",90,"D",70,"D",.,"A"
"20163","03410442",16,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03410462",30,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03410472",19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",600,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03410482",20,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",360,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03410492",19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",210,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03410522",26,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",450,"D",.,"A",.,"A",60,"F",.,"A"
"20163","03410532",81,0,"1",4,"D",.,"A",.,"A",.,"A",.,"A",.,"A",723,"D",.,"A",140,"D",.,"A",.,"A"
"20163","03410572",31,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1200,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03410582",30,0,"1",.,"A",30,"D",.,"A",.,"A",.,"A",.,"A",480,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03410602",39,0,"1",.,"A",1,"D",.,"A",.,"A",.,"A",.,"A",600,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03410622",32,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",60,"D",.,"A",140,"D",.,"A",.,"A"
"20163","03410642",41,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",360,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03410662",52,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",52,"D",660,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03410672",8,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20163","03410702",60,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",840,"D",.,"A",.,"A",.,"A",.,"A"
