"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","TELBSNZ","TELBSNZ_","TELRESD","TELRESD_","TELCELL","TELCELL_","TINTNET","TINTNET_","TCABLE","TCABLE_","BILPERD","BILPERD_","QADINE1X","QADI_E1X","QADINE2X","QADI_E2X","QADINE3X","QADI_E3X","QADCAB1X","QADC_B1X","QADCAB2X","QADC_B2X","QADCAB3X","QADC_B3X","TELRES1X","TELR_S1X","TELRES2X","TELR_S2X","TELRES3X","TELR_S3X","TELCEL1X","TELC_L1X","TELCEL2X","TELC_L2X","TELCEL3X","TELC_L3X","QADAPG1X","QADA_G1X","QADAPG2X","QADA_G2X","QADAPG3X","QADA_G3X","TELBLPRS","TELB_PRS"
"20152","02901044",19,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",145,"D",145,"D",145,"D",.,"A",.,"A",.,"A",,"A"
"20152","02901044",20,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",35,"D",35,"D",35,"D",.,"A",.,"A",.,"A",,"A"
"20152","02901054",25,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",80,"D",80,"D",80,"D",.,"A",.,"A",.,"A",,"A"
"20152","02901164",70,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",181,"D",181,"D",181,"D",.,"A",.,"A",.,"A",,"A"
"20152","02901164",71,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",88,"D",73,"D",73,"D",.,"A",.,"A",.,"A",,"A"
"20152","02901174",7,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",125,"D",125,"D",125,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A"
"20152","02901174",8,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",250,"D",250,"D",250,"D",.,"A",.,"A",.,"A",,"A"
"20152","02901204",19,0,"1",.,"A","1","D","2","D","1","D","2","D",,"A",50,"F",50,"F",50,"F",.,"A",.,"A",.,"A",73,"G",72,"G",78,"G",107,"G",108,"G",102,"G",.,"A",.,"A",.,"A","2","D"
"20152","02901214",13,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",30,"D",30,"D",30,"D",.,"A",.,"A",.,"A",,"A"
"20152","02901234",9,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",65,"D",65,"D",65,"D",.,"A",.,"A",.,"A",,"A"
"20152","02901254",19,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",93,"D",93,"D",93,"D",.,"A",.,"A",.,"A",,"A"
"20152","02901294",93,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",35,"F",42,"F",35,"F",50,"F",73,"F",50,"F",72,"F",42,"F",72,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D"
"20152","02901304",53,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",50,"D",50,"D",50,"D",.,"A",.,"A",.,"A",,"A"
"20152","02901404",19,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",49,"D",49,"D",49,"D",105,"D",105,"D",105,"D",16,"F",16,"F",16,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D"
"20152","02901414",39,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",180,"D",180,"D",180,"D",.,"A",.,"A",.,"A",,"A"
"20152","02901504",28,0,"1",.,"A","1","D",,"A","1","D","2","D",,"A",35,"F",25,"F",25,"F",.,"A",.,"A",.,"A",47,"F",57,"F",57,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D"
"20152","02901534",17,0,"1",.,"A",,"A","2","D","1","D","2","D",,"A",0,"F",65,"F",0,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",250,"F",185,"F",250,"F",.,"A",.,"A",.,"A","2","D"
"20152","02901544",45,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",35,"D",35,"D",35,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A"
"20152","02901544",46,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",80,"D",80,"D",80,"D",.,"A",.,"A",.,"A",,"A"
"20152","02901594",52,0,"1",.,"A","1","D","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",61,"G",60,"G",64,"G",117,"G",118,"G",114,"G",.,"A",.,"A",.,"A",,"A"
"20152","02901624",8,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",130,"D",139,"D",130,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A"
"20152","02901704",42,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",35,"F",40,"F",40,"F",35,"F",30,"F",30,"F",23,"F",23,"F",23,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D"
"20152","02901704",43,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",60,"D",60,"D",60,"D",.,"A",.,"A",.,"A",,"A"
"20152","02901714",30,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",100,"D",100,"D",100,"D",.,"A",.,"A",.,"A",,"A"
"20152","02901714",31,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",60,"D",60,"D",60,"D",.,"A",.,"A",.,"A",,"A"
"20152","02901724",24,0,"1",.,"A",,"A","2","D","1","D","2","D",,"A",20,"F",20,"F",20,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",40,"F",40,"F",40,"F",.,"A",.,"A",.,"A","2","D"
"20152","02901754",7,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",160,"D",160,"D",160,"D",.,"A",.,"A",.,"A",,"A"
"20152","02901784",31,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",83,"D",83,"D",83,"D",.,"A",.,"A",.,"A",,"A"
