"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOF","PROP0NOF","OWNYF","OWNYF_","NEWMRRT","NEWMRRT_","ORGMRTX","ORGMRTX_","QMRTTERM","QMRT_ERM","MRTPMTX","MRTPMTX_","PAYPROTX","PAYP_OTX","PAYPROIN","PAYP_OIN","PAYMORIN","PAYM_RIN","PAYOTHER","PAYO_HER","QESCROWX","QESC_OWX","QPRINM1X","QPRI_M1X","QPRINM2X","QPRI_M2X","QPRINM3X","QPRI_M3X","QADINT1X","QADI_T1X","QADINT2X","QADI_T2X","QADINT3X","QADI_T3X","QRFINDAT","QRFI_DAT","FRSTPYMO","FRST_YMO","FRSTPYYR","FRST_YYR","FIXEDRTE","FIXE_RTE","QNEWDATE","QNEW_ATE","QBLNCM1X","QBLN_M1X","QBLNCM2X","QBLN_M2X","QBLNCM3X","QBLN_M3X","LOAN_NOF","LOAN0NOF","VARRTE","VARRTE_","INTONLY","INTONLY_","OTHRTE","OTHRTE_","PAYMT1X","PAYMT1X_","PAYMT2X","PAYMT2X_","PAYMT3X","PAYMT3X_","PAYPRINI","PAYP_INI","PAYINT","PAYINT_"
"20141",2759322,33,0,"5","01","D","100","D",0.0784,"D",74726,"D",30,"D",622,"D","3","D","4","D",,"A",,"A",82,"D",106,"D",107,"D",107,"D",360,"D",359,"D",359,"D",,"A","09","D","2004","D","1","D",,"A",66427,"D",66321,"D",66214,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2759352,11,0,"1","01","D","100","D",0.0784,"D",316978,"D",15,"D",5124,"T","3","D",,"A",,"A",,"A",1000,"D",1093,"D",1100,"D",1108,"D",1907,"D",1900,"D",1892,"D",,"A","10","D","2011","D","1","D",,"A",291836,"D",290742,"D",289642,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2759352,12,0,"1","01","D","100","D",0.0784,"D",274714,"D",15,"D",2600,"D",,"A",,"A",,"A",,"A",0,"D",948,"D",954,"D",960,"D",1652,"D",1646,"D",1640,"D",,"A","10","D","2011","D","1","D",,"A",252924,"D",251976,"D",251022,"D","02","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2759362,16,0,"5","01","D","100","D",0.053,"D",180000,"D",30,"D",1293,"D","3","D","4","D",,"A",,"A",293,"D",254,"D",256,"D",257,"D",746,"D",744,"D",743,"D",,"A","10","D","2009","D","1","D",,"A",168813,"D",168558,"D",168303,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2759392,24,0,"5","01","D","100","D",0.06,"D",233508,"D",30,"D",1400,"D",,"C",,"C",,"C",,"C",0,"D",833,"D",838,"D",842,"D",567,"D",562,"D",558,"D",,"A","07","D","1992","D","1","D",,"A",113317,"D",112484,"D",111646,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A",,"C",,"A"
"20141",2759452,16,0,"5","01","D","100","D",0.07,"D",180000,"D",30,"D",1490,"D",,"B",,"B",,"B",,"B",292,"D",386,"D",389,"D",391,"D",812,"D",809,"D",807,"D",,"A","02","D","2000","D","1","D",,"A",139129,"D",138742,"D",138354,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2759462,22,0,"5","01","D","100","D",0.085,"D",28352,"D",30,"D",218,"D",,"A",,"A",,"A",,"A",0,"D",56,"D",56,"D",57,"D",162,"D",162,"D",161,"D",,"A","12","D","1999","D","1","D",,"A",22896,"D",22840,"D",22784,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2759482,29,0,"5","01","D","100","D",0.06,"D",131000,"D",30,"D",900,"D","3","D","4","D",,"A",,"A",115,"D",254,"D",255,"D",256,"D",531,"D",530,"D",529,"D",,"A","09","D","2002","D","1","D",,"A",106275,"D",106021,"D",105766,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2759562,20,0,"5","01","D","100","D",0.0784,"D",86112,"D",15,"D",848,"D",,"A","4","D",,"A",,"A",33,"D",.,"A",338,"D",341,"D",.,"A",477,"D",474,"D",,"A","03","D","2010","D","1","D","122013","D",.,"A",72957,"D",72619,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2759562,39,0,"5","01","D","100","D",0.0784,"D",66882,"D",15,"D",809,"D","3","D","4","D",,"A",,"A",176,"D",261,"D",.,"A",.,"A",372,"D",.,"A",.,"A","122013","D","03","D","2010","D","1","D",,"A",56926,"D",.,"A",.,"A","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
