"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20131",2522915,55,0,"1","410","D","01","D",55,"D",,"A",,"A",,"A",,"A"
"20131",2523145,52,0,"1","410","D","12","D",40,"D",,"A",,"A",,"A",,"A"
"20131",2523205,50,0,"1","420","D","01","D",85,"D",,"A",,"A",,"A",,"A"
"20131",2523245,71,0,"1","420","D","12","D",50,"D",,"A",,"A",,"A",,"A"
"20131",2523405,72,0,"1","420","D","01","D",36,"D",,"A",,"A",,"A",,"A"
"20131",2523505,60,0,"1","420","D","12","D",28,"D",,"A",,"A",,"A",,"A"
"20131",2523545,40,0,"1","430","D","01","D",.,"H","415","D","410","D",,"A",,"A"
"20131",2523545,40,1,"1","420","D","01","D",228,"E",,"A",,"A",,"A",,"A"
"20131",2523545,40,2,"1","410","D","01","D",82,"E",,"A",,"A",,"A",,"A"
"20131",2523625,48,0,"1","420","D","12","D",31,"D",,"A",,"A",,"A",,"A"
"20131",2523625,49,0,"1","410","D","12","D",5,"D",,"A",,"A",,"A",,"A"
"20131",2523735,69,0,"1","410","D","12","D",50,"D",,"A",,"A",,"A",,"A"
"20131",2523735,70,0,"1","420","D","12","D",90,"D",,"A",,"A",,"A",,"A"
"20131",2523795,129,0,"1","400","D","01","D",38,"D",,"A",,"A",,"A",,"A"
"20131",2523795,130,0,"1","410","D","12","D",14,"D",,"A",,"A",,"A",,"A"
"20131",2523815,35,0,"1","420","D","01","D",96,"D",,"A",,"A",,"A",,"A"
"20131",2523845,58,0,"2","410","D","11","D",29,"D",,"A",,"A",,"A",,"A"
"20131",2523905,72,0,"1","420","D","11","D",85,"D",,"A",,"A",,"A",,"A"
"20131",2524015,96,0,"1","420","D","11","D",240,"D",,"A",,"A",,"A",,"A"
"20131",2524015,97,0,"1","420","D","12","D",140,"D",,"A",,"A",,"A",,"A"
"20131",2524035,51,0,"1","420","D","12","D",75,"D",,"A",,"A",,"A",,"A"
"20131",2524085,60,0,"1","420","D","11","D",421,"D",,"A",,"A",,"A",,"A"
"20131",2524155,42,0,"1","420","D","01","D",137,"D",,"A",,"A",,"A",,"A"
"20131",2524305,64,0,"1","420","D","12","D",25,"D",,"A",,"A",,"A",,"A"
"20131",2524365,70,0,"1","420","D","01","D",140,"D",,"A",,"A",,"A",,"A"
"20131",2524435,40,0,"1","430","D","01","D",.,"H","410","D","415","D",,"A",,"A"
"20131",2524435,40,1,"1","410","D","01","D",23,"E",,"A",,"A",,"A",,"A"
"20131",2524435,40,2,"1","420","D","01","D",42,"E",,"A",,"A",,"A",,"A"
"20131",2524455,34,0,"2","400","D","11","D",24,"D",,"A",,"A",,"A",,"A"
"20131",2524555,55,0,"1","400","D","01","D",24,"D",,"A",,"A",,"A",,"A"
"20131",2524595,81,0,"1","430","D","01","D",.,"H","415","D","410","D",,"A",,"A"
"20131",2524595,81,1,"1","420","D","01","D",91,"E",,"A",,"A",,"A",,"A"
"20131",2524595,81,2,"1","410","D","01","D",24,"E",,"A",,"A",,"A",,"A"
"20131",2524775,48,0,"1","410","D","12","D",70,"D",,"A",,"A",,"A",,"A"
"20131",2524825,61,0,"1","420","D","11","D",16,"D",,"A",,"A",,"A",,"A"
"20131",2525075,74,0,"1","420","D","01","D",306,"D",,"A",,"A",,"A",,"A"
"20131",2525075,75,0,"2","420","D","11","D",440,"D",,"A",,"A",,"A",,"A"
"20131",2525095,61,0,"1","410","D","12","D",20,"D",,"A",,"A",,"A",,"A"
"20131",2525125,72,0,"1","420","D","11","D",99,"D",,"A",,"A",,"A",,"A"
"20131",2525145,93,0,"1","420","D","11","D",159,"D",,"A",,"A",,"A",,"A"
"20131",2525425,72,0,"1","410","D","01","D",40,"D",,"A",,"A",,"A",,"A"
"20131",2525425,73,0,"1","420","D","01","D",45,"D",,"A",,"A",,"A",,"A"
"20131",2525445,58,0,"1","420","D","01","D",20,"D",,"A",,"A",,"A",,"A"
"20131",2525595,46,0,"1","400","D","01","D",26,"D",,"A",,"A",,"A",,"A"
"20131",2525975,74,0,"1","400","D","01","D",80,"D",,"A",,"A",,"A",,"A"
"20131",2525975,75,0,"1","420","D","12","D",80,"D",,"A",,"A",,"A",,"A"
"20131",2526045,27,0,"1","420","D","01","D",60,"D",,"A",,"A",,"A",,"A"
"20131",2526115,45,0,"1","420","D","11","D",300,"D",,"A",,"A",,"A",,"A"
"20131",2526135,50,0,"2","400","D","11","D",21,"D",,"A",,"A",,"A",,"A"
"20131",2526145,63,0,"1","420","D","11","D",150,"D",,"A",,"A",,"A",,"A"
"20131",2526185,131,0,"1","420","D","11","D",172,"D",,"A",,"A",,"A",,"A"
"20131",2526185,132,0,"1","420","D","01","D",197,"D",,"A",,"A",,"A",,"A"
"20131",2526355,38,0,"1","410","D","12","D",40,"D",,"A",,"A",,"A",,"A"
"20131",2526395,84,0,"1","420","D","12","D",160,"D",,"A",,"A",,"A",,"A"
"20131",2526395,85,0,"1","420","D","01","D",16,"D",,"A",,"A",,"A",,"A"
"20131",2526395,86,0,"2","420","D","11","D",167,"D",,"A",,"A",,"A",,"A"
"20131",2526515,79,0,"1","420","D","11","D",266,"D",,"A",,"A",,"A",,"A"
"20131",2526725,45,0,"1","400","D","01","D",20,"D",,"A",,"A",,"A",,"A"
"20131",2526765,54,0,"1","400","D","12","D",35,"D",,"A",,"A",,"A",,"A"
"20131",2527085,54,0,"1","400","D","01","D",21,"D",,"A",,"A",,"A",,"A"
"20131",2527205,76,0,"1","420","D","01","D",75,"D",,"A",,"A",,"A",,"A"
"20131",2527295,31,0,"1","410","D","12","D",43,"D",,"A",,"A",,"A",,"A"
"20131",2527345,46,0,"2","420","D","11","D",260,"D",,"A",,"A",,"A",,"A"
"20131",2527385,67,0,"1","410","D","11","D",70,"D",,"A",,"A",,"A",,"A"
"20131",2527385,68,0,"1","420","D","11","D",25,"D",,"A",,"A",,"A",,"A"
"20131",2527425,62,0,"1","400","D","01","D",50,"D",,"A",,"A",,"A",,"A"
"20131",2527455,44,0,"1","420","D","12","D",99,"D",,"A",,"A",,"A",,"A"
"20131",2527485,31,0,"1","420","D","11","D",175,"D",,"A",,"A",,"A",,"A"
"20131",2527515,79,0,"1","400","D","12","D",35,"D",,"A",,"A",,"A",,"A"
"20131",2527625,38,0,"1","400","D","01","D",48,"D",,"A",,"A",,"A",,"A"
"20131",2527715,42,0,"1","420","D","11","D",45,"D",,"A",,"A",,"A",,"A"
"20131",2527775,48,0,"1","420","D","12","D",65,"D",,"A",,"A",,"A",,"A"
"20131",2527895,88,0,"1","400","D","01","D",34,"D",,"A",,"A",,"A",,"A"
"20131",2527955,100,0,"2","420","D","11","D",89,"D",,"A",,"A",,"A",,"A"
"20131",2527965,65,0,"1","420","D","01","D",85,"D",,"A",,"A",,"A",,"A"
"20131",2527985,95,0,"1","420","D","12","D",36,"D",,"A",,"A",,"A",,"A"
"20131",2527985,96,0,"2","410","D","11","D",35,"D",,"A",,"A",,"A",,"A"
"20131",2528105,38,0,"1","410","D","11","D",49,"D",,"A",,"A",,"A",,"A"
"20131",2528145,48,0,"1","420","D","01","D",72,"D",,"A",,"A",,"A",,"A"
"20131",2528165,53,0,"1","400","D","11","D",26,"D",,"A",,"A",,"A",,"A"
"20131",2528175,51,0,"1","420","D","12","D",95,"D",,"A",,"A",,"A",,"A"
"20131",2528185,59,0,"1","400","D","01","D",73,"D",,"A",,"A",,"A",,"A"
"20131",2528205,68,0,"1","420","D","12","D",20,"D",,"A",,"A",,"A",,"A"
"20131",2528265,60,0,"1","400","D","12","D",25,"D",,"A",,"A",,"A",,"A"
"20131",2528485,81,0,"1","410","D","12","D",25,"D",,"A",,"A",,"A",,"A"
"20131",2528485,82,0,"1","420","D","12","D",60,"D",,"A",,"A",,"A",,"A"
"20131",2528495,69,0,"1","420","D","01","D",708,"D",,"A",,"A",,"A",,"A"
"20131",2528515,61,0,"2","420","D","11","D",35,"D",,"A",,"A",,"A",,"A"
"20131",2528525,49,0,"1","400","D","01","D",38,"D",,"A",,"A",,"A",,"A"
"20131",2528705,34,0,"1","420","D","01","D",300,"D",,"A",,"A",,"A",,"A"
"20131",2528725,44,0,"1","400","D","11","D",21,"D",,"A",,"A",,"A",,"A"
"20131",2528755,36,0,"2","420","D","11","D",125,"D",,"A",,"A",,"A",,"A"
"20131",2528975,68,0,"1","420","D","01","D",107,"D",,"A",,"A",,"A",,"A"
"20131",2528995,44,0,"2","420","D","11","D",96,"D",,"A",,"A",,"A",,"A"
"20131",2529035,63,0,"1","420","D","01","D",78,"D",,"A",,"A",,"A",,"A"
"20131",2529035,64,0,"1","410","D","01","D",40,"D",,"A",,"A",,"A",,"A"
"20131",2529215,59,0,"2","410","D","11","D",25,"D",,"A",,"A",,"A",,"A"
"20131",2529215,60,0,"2","420","D","11","D",149,"D",,"A",,"A",,"A",,"A"
"20131",2529275,65,0,"1","420","D","12","D",46,"D",,"A",,"A",,"A",,"A"
"20131",2529325,88,0,"1","420","D","01","D",115,"D",,"A",,"A",,"A",,"A"
"20131",2529515,63,0,"1","420","D","11","D",249,"D",,"A",,"A",,"A",,"A"
"20131",2529515,64,0,"1","420","D","12","D",238,"D",,"A",,"A",,"A",,"A"
"20131",2529675,50,0,"1","420","D","11","D",35,"D",,"A",,"A",,"A",,"A"
"20131",2529715,29,0,"1","420","D","12","D",35,"F",,"A",,"A",,"A",,"A"
"20131",2529765,79,0,"2","400","D","11","D",43,"D",,"A",,"A",,"A",,"A"
"20131",2529785,45,0,"1","420","D","01","D",80,"D",,"A",,"A",,"A",,"A"
"20131",2529785,46,0,"1","410","D","01","D",25,"D",,"A",,"A",,"A",,"A"
"20131",2529855,54,0,"1","410","D","12","D",40,"D",,"A",,"A",,"A",,"A"
"20131",2529855,55,0,"1","420","D","12","D",250,"D",,"A",,"A",,"A",,"A"
"20131",2529945,89,0,"1","420","D","11","D",25,"D",,"A",,"A",,"A",,"A"
"20131",2530195,38,0,"1","420","D","11","D",24,"D",,"A",,"A",,"A",,"A"
"20131",2530225,62,0,"1","410","D","01","D",29,"D",,"A",,"A",,"A",,"A"
"20131",2530255,54,0,"1","430","D","01","D",.,"H","415","D","410","D",,"A",,"A"
"20131",2530255,54,1,"1","420","D","01","D",58,"E",,"A",,"A",,"A",,"A"
"20131",2530255,54,2,"1","410","D","01","D",47,"E",,"A",,"A",,"A",,"A"
"20131",2530255,55,0,"2","420","D","11","D",130,"D",,"A",,"A",,"A",,"A"
"20131",2530545,43,0,"1","420","D","01","D",80,"D",,"A",,"A",,"A",,"A"
