"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20161","03108074",4,0,"1","160","D","10","D",200,"D"
"20161","03108074",5,0,"1","160","D","11","D",500,"D"
"20161","03108074",6,0,"1","160","D","11","D",100,"D"
"20161","03108074",7,0,"1","160","D","11","D",55,"D"
"20161","03108074",8,0,"1","160","D","12","D",50,"D"
"20161","03108074",9,0,"1","160","D","12","D",100,"D"
"20161","03108074",10,0,"1","160","D","12","D",100,"D"
"20161","03108074",11,0,"1","160","D","12","D",100,"D"
"20161","03108074",12,0,"1","130","D","11","D",250,"D"
"20161","03108074",13,0,"1","140","D","10","D",150,"D"
"20161","03108074",14,0,"1","150","D","10","D",50,"D"
"20161","03108074",15,0,"1","150","D","10","D",32,"D"
"20161","03108074",16,0,"1","150","D","12","D",100,"D"
"20161","03108074",17,0,"2","170","D","10","D",9000,"D"
"20161","03108114",5,0,"1","150","D","13","D",400,"D"
"20161","03108114",6,0,"1","160","D","13","D",4,"D"
"20161","03108294",5,0,"1","100","D","11","D",200,"D"
"20161","03108304",1,0,"1","150","D","13","D",6,"D"
"20161","03108454",17,0,"1","170","D","10","D",250,"D"
"20161","03108454",18,0,"1","170","D","11","D",50,"D"
"20161","03108454",19,0,"1","170","D","12","D",150,"D"
"20161","03108454",20,0,"1","160","D","11","D",930,"D"
"20161","03108454",21,0,"1","160","D","12","D",400,"D"
"20161","03108464",2,0,"1","150","D","13","D",25,"D"
"20161","03108564",1,0,"1","170","D","12","D",500,"D"
"20161","03108564",2,0,"1","170","D","11","D",10,"D"
"20161","03108564",3,0,"1","160","D","12","D",25,"D"
"20161","03108754",1,0,"1","170","D","12","D",200,"D"
"20161","03108754",2,0,"2","120","D","10","D",8000,"D"
"20161","03108804",5,0,"1","170","D","12","D",25,"D"
"20161","03108804",6,0,"1","150","D","13","D",45,"D"
"20161","03108864",4,0,"1","110","D","13","D",100,"D"
"20161","03109104",1,0,"1","150","D","13","D",135,"D"
"20161","03109104",2,0,"1","160","D","13","D",15,"D"
"20161","03109104",3,0,"1","160","D","12","D",20,"D"
"20161","03109264",3,0,"1","150","D","12","D",50,"D"
"20161","03109484",2,0,"1","150","D","13","D",350,"D"
"20161","03109514",1,0,"1","150","D","13","D",25,"D"
"20161","03109524",1,0,"1","110","D","13","D",360,"D"
"20161","03109634",2,0,"1","150","D","13","D",230,"F"
"20161","03109754",6,0,"1","160","D","13","D",20,"D"
"20161","03109754",7,0,"1","160","D","13","D",20,"D"
"20161","03109764",5,0,"1","160","D","13","D",20,"D"
"20161","03109774",1,0,"1","150","D","13","D",1600,"D"
"20161","03109884",11,0,"1","170","D","12","D",90,"D"
"20161","03109884",12,0,"1","150","D","13","D",195,"D"
"20161","03109884",13,0,"1","160","D","12","D",20,"D"
"20161","03109894",12,0,"1","170","D","10","D",150,"D"
"20161","03109894",13,0,"1","170","D","11","D",150,"D"
"20161","03109894",14,0,"1","170","D","12","D",150,"D"
"20161","03110044",5,0,"1","150","D","13","D",600,"D"
"20161","03110054",4,0,"1","160","D","12","D",200,"D"
"20161","03110064",3,0,"1","150","D","13","D",600,"D"
"20161","03110174",10,0,"1","100","D","13","D",400,"D"
"20161","03110174",11,0,"1","150","D","12","D",40,"D"
"20161","03110314",2,0,"1","150","D","13","D",50,"D"
"20161","03110364",7,0,"1","160","D","13","D",25,"D"
"20161","03110534",2,0,"1","150","D","13","D",100,"D"
"20161","03110554",8,0,"1","160","D","13","D",130,"D"
"20161","03110584",1,0,"1","150","D","13","D",25,"D"
"20161","03110684",4,0,"1","160","D","11","D",200,"D"
"20161","03110684",5,0,"2","160","D","10","D",2,"D"
"20161","03110694",11,0,"1","160","D","13","D",20,"D"
"20161","03110824",4,0,"1","130","D","12","D",450,"D"
"20161","03110824",5,0,"1","160","D","12","D",450,"D"
"20161","03110874",2,0,"1","170","D","12","D",200,"D"
"20161","03110874",3,0,"2","170","D","10","D",50,"D"
"20161","03110914",1,0,"1","160","D","11","D",10,"D"
"20161","03110914",2,0,"1","160","D","11","D",20,"D"
"20161","03110914",3,0,"1","160","D","11","D",20,"D"
"20161","03110914",4,0,"2","160","D","10","D",20,"D"
