"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20164","03471282",61,2,"1","405","D","09","D",142,"E",,"A",,"A",,"A",,"A"
"20164","03471282",61,3,"1","410","D","09","D",1,"E",,"A",,"A",,"A",,"A"
"20164","03492062",42,0,"2","420","D","09","D",163,"D",,"A",,"A",,"A",,"A"
"20164","03492202",21,0,"2","420","D","09","D",100,"D",,"A",,"A",,"A",,"A"
"20164","03492302",31,0,"1","400","D","11","D",35,"D",,"A",,"A",,"A",,"A"
"20164","03492302",32,0,"1","430","D","11","D",.,"H","425","D","405","D","415","D",,"A"
"20164","03492302",32,1,"1","420","D","11","D",13,"E",,"A",,"A",,"A",,"A"
"20164","03492302",32,2,"1","405","D","11","D",211,"E",,"A",,"A",,"A",,"A"
"20164","03492302",32,3,"1","420","D","11","D",41,"E",,"A",,"A",,"A",,"A"
"20164","03492342",52,0,"1","405","D","09","D",167,"D",,"A",,"A",,"A",,"A"
"20164","03492352",20,0,"1","400","D","10","D",20,"D",,"A",,"A",,"A",,"A"
"20164","03492352",21,0,"1","420","D","10","D",60,"D",,"A",,"A",,"A",,"A"
"20164","03492392",56,0,"1","420","D","11","D",115,"D",,"A",,"A",,"A",,"A"
"20164","03492432",26,0,"1","400","D","09","D",20,"D",,"A",,"A",,"A",,"A"
"20164","03492492",59,0,"1","420","D","10","D",105,"D",,"A",,"A",,"A",,"A"
"20164","03492502",37,0,"1","405","D","09","D",136,"D",,"A",,"A",,"A",,"A"
"20164","03492532",55,0,"2","420","D","09","D",800,"D",,"A",,"A",,"A",,"A"
"20164","03492632",48,0,"1","420","D","10","D",46,"D",,"A",,"A",,"A",,"A"
"20164","03492632",49,0,"1","420","D","10","D",140,"D",,"A",,"A",,"A",,"A"
"20164","03492642",26,0,"1","420","D","11","D",54,"D",,"A",,"A",,"A",,"A"
"20164","03492772",34,0,"1","410","D","10","D",50,"D",,"A",,"A",,"A",,"A"
"20164","03492793",18,0,"1","430","D","10","D",.,"H","425","D","410","D",,"A",,"A"
"20164","03492793",18,1,"1","420","D","10","D",28,"E",,"A",,"A",,"A",,"A"
"20164","03492793",18,2,"1","410","D","10","D",9,"E",,"A",,"A",,"A",,"A"
"20164","03492862",67,0,"1","420","D","11","D",110,"D",,"A",,"A",,"A",,"A"
"20164","03493022",53,0,"1","420","D","11","D",58,"D",,"A",,"A",,"A",,"A"
"20164","03493062",54,0,"2","410","D","09","D",50,"D",,"A",,"A",,"A",,"A"
"20164","03493062",55,0,"2","420","D","09","D",100,"D",,"A",,"A",,"A",,"A"
"20164","03493212",34,0,"1","405","D","10","D",400,"D",,"A",,"A",,"A",,"A"
"20164","03493222",44,0,"1","400","D","11","D",72,"D",,"A",,"A",,"A",,"A"
"20164","03493222",45,0,"1","410","D","11","D",40,"D",,"A",,"A",,"A",,"A"
"20164","03493272",83,0,"1","420","D","10","D",85,"D",,"A",,"A",,"A",,"A"
"20164","03493272",84,0,"2","420","D","09","D",77,"D",,"A",,"A",,"A",,"A"
"20164","03493432",38,0,"1","420","D","11","D",125,"D",,"A",,"A",,"A",,"A"
"20164","03493442",44,0,"1","420","D","11","D",56,"D",,"A",,"A",,"A",,"A"
"20164","03493462",29,0,"1","420","D","09","D",42,"D",,"A",,"A",,"A",,"A"
"20164","03493462",30,0,"1","410","D","11","D",84,"D",,"A",,"A",,"A",,"A"
"20164","03493522",34,0,"1","420","D","11","D",30,"D",,"A",,"A",,"A",,"A"
"20164","03493592",44,0,"1","410","D","11","D",30,"D",,"A",,"A",,"A",,"A"
"20164","03493592",45,0,"1","430","D","11","D",.,"H","405","D","415","D",,"A",,"A"
"20164","03493592",45,1,"1","405","D","11","D",229,"E",,"A",,"A",,"A",,"A"
"20164","03493592",45,2,"1","420","D","11","D",114,"E",,"A",,"A",,"A",,"A"
"20164","03493852",29,0,"1","420","D","11","D",6,"D",,"A",,"A",,"A",,"A"
"20164","03493852",30,0,"1","405","D","09","D",94,"D",,"A",,"A",,"A",,"A"
"20164","03493922",58,0,"1","420","D","09","D",104,"D",,"A",,"A",,"A",,"A"
"20164","03493982",22,0,"1","405","D","11","D",92,"D",,"A",,"A",,"A",,"A"
"20164","03494164",21,0,"1","420","D","10","D",24,"D",,"A",,"A",,"A",,"A"
"20164","03494164",22,0,"1","405","D","10","D",18,"D",,"A",,"A",,"A",,"A"
"20164","03494272",45,0,"1","420","D","10","D",120,"D",,"A",,"A",,"A",,"A"
"20164","03494442",18,0,"2","420","D","09","D",108,"D",,"A",,"A",,"A",,"A"
"20164","03494632",43,0,"1","400","D","11","D",45,"D",,"A",,"A",,"A",,"A"
"20164","03494632",44,0,"1","420","D","11","D",30,"D",,"A",,"A",,"A",,"A"
"20164","03494632",45,0,"1","405","D","10","D",300,"D",,"A",,"A",,"A",,"A"
"20164","03494672",43,0,"1","430","D","09","D",.,"H","410","D","415","D","425","D","405","D"
"20164","03494672",43,1,"1","410","D","09","D",12,"E",,"A",,"A",,"A",,"A"
"20164","03494672",43,2,"1","420","D","09","D",27,"E",,"A",,"A",,"A",,"A"
"20164","03494672",43,3,"1","420","D","09","D",43,"E",,"A",,"A",,"A",,"A"
"20164","03494672",43,4,"1","405","D","09","D",49,"E",,"A",,"A",,"A",,"A"
"20164","03494692",35,0,"1","420","D","09","D",69,"D",,"A",,"A",,"A",,"A"
"20164","03494702",18,0,"1","430","D","10","D",.,"H","415","D","410","D",,"A",,"A"
"20164","03494702",18,1,"1","420","D","10","D",94,"E",,"A",,"A",,"A",,"A"
"20164","03494702",18,2,"1","410","D","10","D",31,"E",,"A",,"A",,"A",,"A"
"20164","03494712",41,0,"1","400","D","09","D",35,"D",,"A",,"A",,"A",,"A"
"20164","03494792",37,0,"1","420","D","11","D",90,"D",,"A",,"A",,"A",,"A"
"20164","03494972",46,0,"2","420","D","09","D",105,"D",,"A",,"A",,"A",,"A"
"20164","03495062",15,0,"2","410","D","09","D",25,"D",,"A",,"A",,"A",,"A"
"20164","03495112",38,0,"1","420","D","10","D",65,"D",,"A",,"A",,"A",,"A"
"20164","03495152",42,0,"2","430","D","09","D",.,"H","415","D","425","D","405","D","410","D"
"20164","03495152",42,1,"2","420","D","09","D",11,"E",,"A",,"A",,"A",,"A"
"20164","03495152",42,2,"2","420","D","09","D",36,"E",,"A",,"A",,"A",,"A"
"20164","03495152",42,3,"2","410","D","09","D",3,"E",,"A",,"A",,"A",,"A"
"20164","03495432",83,0,"1","420","D","10","D",50,"D",,"A",,"A",,"A",,"A"
"20164","03495432",84,0,"2","400","D","09","D",48,"D",,"A",,"A",,"A",,"A"
"20164","03495432",85,0,"2","420","D","09","D",80,"D",,"A",,"A",,"A",,"A"
"20164","03495452",47,0,"1","420","D","11","D",51,"D",,"A",,"A",,"A",,"A"
"20164","03495452",48,0,"2","420","D","09","D",330,"D",,"A",,"A",,"A",,"A"
"20164","03495472",29,0,"1","400","D","10","D",30,"D",,"A",,"A",,"A",,"A"
"20164","03495492",26,0,"1","410","D","11","D",24,"D",,"A",,"A",,"A",,"A"
"20164","03495492",27,0,"1","405","D","11","D",350,"D",,"A",,"A",,"A",,"A"
"20164","03495502",27,0,"1","420","D","09","D",200,"D",,"A",,"A",,"A",,"A"
"20164","03495552",114,0,"1","420","D","09","D",786,"D",,"A",,"A",,"A",,"A"
"20164","03495562",71,0,"1","400","D","11","D",40,"D",,"A",,"A",,"A",,"A"
"20164","03495623",40,0,"2","400","D","09","D",28,"D",,"A",,"A",,"A",,"A"
"20164","03495652",34,0,"1","430","D","10","D",.,"H","415","D","410","D",,"A",,"A"
"20164","03495652",34,1,"1","420","D","10","D",100,"E",,"A",,"A",,"A",,"A"
"20164","03495652",34,2,"1","410","D","10","D",20,"E",,"A",,"A",,"A",,"A"
"20164","03495692",25,0,"1","420","D","11","D",47,"D",,"A",,"A",,"A",,"A"
"20164","03495692",26,0,"1","410","D","10","D",87,"D",,"A",,"A",,"A",,"A"
"20164","03495882",38,0,"1","420","D","09","D",67,"D",,"A",,"A",,"A",,"A"
"20164","03495912",25,0,"1","420","D","09","D",33,"D",,"A",,"A",,"A",,"A"
"20164","03495922",36,0,"1","420","D","11","D",87,"D",,"A",,"A",,"A",,"A"
"20164","03495942",48,0,"2","420","D","09","D",205,"D",,"A",,"A",,"A",,"A"
"20164","03495992",35,0,"1","410","D","11","D",20,"D",,"A",,"A",,"A",,"A"
"20164","03496042",19,0,"2","410","D","09","D",25,"D",,"A",,"A",,"A",,"A"
"20164","03496182",47,0,"1","410","D","09","D",30,"D",,"A",,"A",,"A",,"A"
"20164","03496182",48,0,"1","410","D","10","D",30,"D",,"A",,"A",,"A",,"A"
"20164","03496212",13,0,"1","400","D","09","D",10,"D",,"A",,"A",,"A",,"A"
"20164","03496212",14,0,"1","420","D","09","D",25,"D",,"A",,"A",,"A",,"A"
"20164","03496292",29,0,"1","400","D","11","D",21,"D",,"A",,"A",,"A",,"A"
"20164","03496502",66,0,"1","420","D","11","D",80,"D",,"A",,"A",,"A",,"A"
"20164","03496592",35,0,"1","420","D","10","D",150,"F",,"A",,"A",,"A",,"A"
"20164","03496592",36,0,"1","420","D","11","D",21,"F",,"A",,"A",,"A",,"A"
"20164","03496592",37,0,"2","420","D","09","D",150,"F",,"A",,"A",,"A",,"A"
"20164","03496602",25,0,"2","420","D","09","D",56,"D",,"A",,"A",,"A",,"A"
"20164","03496742",26,0,"1","420","D","11","D",99,"D",,"A",,"A",,"A",,"A"
"20164","03496762",42,0,"2","430","D","09","D",.,"H","410","D","415","D",,"A",,"A"
"20164","03496762",42,1,"2","410","D","09","D",49,"E",,"A",,"A",,"A",,"A"
"20164","03496762",42,2,"2","420","D","09","D",151,"E",,"A",,"A",,"A",,"A"
"20164","03497042",24,0,"1","420","D","11","D",100,"D",,"A",,"A",,"A",,"A"
"20164","03497092",46,0,"1","420","D","09","D",88,"D",,"A",,"A",,"A",,"A"
"20164","03497132",58,0,"2","420","D","09","D",14,"D",,"A",,"A",,"A",,"A"
"20164","03497172",25,0,"1","420","D","10","D",230,"D",,"A",,"A",,"A",,"A"
"20164","03497222",46,0,"2","420","D","09","D",228,"D",,"A",,"A",,"A",,"A"
"20164","03497252",39,0,"1","420","D","10","D",41,"D",,"A",,"A",,"A",,"A"
"20164","03497252",40,0,"2","410","D","09","D",90,"D",,"A",,"A",,"A",,"A"
"20164","03497562",53,0,"1","420","D","11","D",210,"D",,"A",,"A",,"A",,"A"
"20164","03497602",35,0,"1","410","D","11","D",46,"D",,"A",,"A",,"A",,"A"
"20164","03497602",36,0,"1","405","D","10","D",156,"F",,"A",,"A",,"A",,"A"
"20164","03497732",16,0,"1","410","D","11","D",10,"D",,"A",,"A",,"A",,"A"
"20164","03497782",32,0,"1","410","D","10","D",25,"D",,"A",,"A",,"A",,"A"
