"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","APPRPRYB","APPR_RYB","SRVCMOB","SRVCMOB_","REPAIRX","REPAIRX_","APPRPB1","APPRPB1_","APPRPB2","APPRPB2_","APPRPB3","APPRPB3_","APPRPB4","APPRPB4_","APPRPB5","APPRPB5_","APPRPB6","APPRPB6_","APPRPB7","APPRPB7_","APPRPB8","APPRPB8_","APPRPB9","APPRPB9_"
"20164","03338704",4,0,"1","190","D","09","D",150,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03338804",5,0,"1","220","D","10","D",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03338944",5,0,"1","130","D","09","D",147,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03339054",11,0,"1","190","D","10","D",129,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03339424",1,0,"2","110","D","08","D",38,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03340044",7,0,"1","110","D","10","D",80,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03340044",8,0,"1","110","D","10","D",80,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03340044",9,0,"1","110","D","09","D",139,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03340044",10,0,"1","130","D","09","D",406,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03340344",13,0,"1","190","D","08","D",41,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03340344",14,0,"1","190","D","09","D",41,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03340344",15,0,"1","190","D","10","D",41,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03340344",16,0,"2","190","D","08","D",125,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03340454",19,0,"1","200","D","08","D",800,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03341814",5,0,"1","110","D","08","D",48,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03341814",6,0,"1","110","D","09","D",48,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03341814",7,0,"1","110","D","10","D",48,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03341904",12,0,"1","110","D","08","D",160,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03341904",13,0,"2","110","D","08","D",60,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03342324",14,0,"2","190","D","08","D",65,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03342554",7,0,"1","190","D","08","D",60,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03342984",4,0,"1","190","D","09","D",80,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03343154",8,0,"1","110","D","09","D",329,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03343154",9,0,"1","120","D","10","D",131,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03343154",10,0,"2","110","D","08","D",16,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03343664",1,0,"1","110","D","10","D",1000,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03343694",8,0,"1","190","D","10","D",101,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03343854",5,0,"1","190","D","09","D",110,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03343904",5,0,"1","190","D","10","D",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03343994",4,0,"1","130","D","09","D",108,"F",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03344264",9,0,"1","210","D","08","D",.,"H","110","D","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03344264",9,1,"1","110","D","08","D",21,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03344264",9,2,"1","200","D","08","D",24,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03344264",9,3,"1","100","D","08","D",26,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03344264",10,0,"1","210","D","09","D",.,"H","110","D","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03344264",10,1,"1","110","D","09","D",21,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03344264",10,2,"1","200","D","09","D",24,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03344264",10,3,"1","100","D","09","D",26,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03344264",11,0,"2","210","D","08","D",.,"H","110","D","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03344264",11,1,"2","110","D","08","D",21,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03344264",11,2,"2","200","D","08","D",24,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03344264",11,3,"2","100","D","08","D",26,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03344424",6,0,"1","200","D","09","D",42,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03344424",7,0,"1","200","D","10","D",42,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03344424",8,0,"2","200","D","08","D",42,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03344624",5,0,"1","100","D","08","D",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03344624",6,0,"1","100","D","09","D",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03344624",7,0,"1","100","D","10","D",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03344654",8,0,"1","190","D","09","D",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03344864",13,0,"1","190","D","10","D",85,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03344884",10,0,"2","110","D","08","D",122,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03345224",15,0,"1","190","D","10","D",64,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03345314",3,0,"1","190","D","08","D",27,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03345354",7,0,"1","140","D","10","D",180,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20164","03345354",8,0,"1","190","D","09","D",425,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
